# xi = 1.0 : l1632b681823x100000a

#       NAIVE TUNING:

#               TUNING OF STRANGE MASS:

#                       m               m_eta           dm_eta
			0.03		0.474418	0.000244
			0.05		0.600481	0.000234
			0.07		0.699719	0.000203
			0.09		0.783438	0.000179

# FINAL VALUES:  m_s = 0.04273

###	NAIVE SPLITTINGS

		PION_5		0.261466	0.000255	[5 12 0.99666601 6 0.42543467 an[0]: 3.0087 0.0044 En[0]: 0.261466 0.000255]
		PION_05		0.536910	0.005850	[2 10 1.00916153 5 0.41031540 an[0]: 1.1192 0.0237 En[0]: 0.757470 0.024235 ao[0]: 0.6803 0.0081 Eo[0]: 0.536910 0.005850]

###	HISQ SPLITTINGS

		PION_5		0.253789	0.000395	[5 14 0.98043818 8 0.44890454 an[0]: 1.8076 0.0037 En[0]: 0.253789 0.000395]
		PION_05		0.303137	0.001400	[2 16 1.10380898 11 0.35307226 an[0]: 0.7545 0.0178 En[0]: 0.847712 0.031720 ao[0]: 0.3815 0.0019 Eo[0]: 0.303137 0.001400]

# xi = 1.5 : l1648b694635x139939a

#	NAIVE TUNING:

# 	m = 0.03

#		xi_f:		1.05			1.25			1.45			1.65
#		p^2
		0.0		0.377100 0.000196	0.334526 0.000155	0.302938 0.000309	0.277993 0.000256
		1.0		0.477720 0.000459	0.423944 0.000413	0.383033 0.000346	0.350244 0.000290
		2.0		0.558096 0.000878	0.496324 0.000771	0.448470 0.000631	0.409878 0.000553

# 	m = 0.05

		0.0		0.483979 0.000176	0.427374 0.000168	0.385202 0.000185	0.351850 0.000168
		1.0		0.566287 0.000325	0.499818 0.000330	0.449716 0.000275	0.409832 0.000250
		2.0		0.637063 0.000686	0.562459 0.000636	0.505504 0.000416	0.460276 0.000465

# 	m = 0.07

		0.0		0.570913 0.000142	0.502280 0.000168	0.450896 0.000148	0.410555 0.000170
		1.0		0.642067 0.000252	0.564522 0.000250	0.506036 0.000211	0.459574 0.000184
		2.0		0.705604 0.000537	0.619931 0.000438	0.555435 0.000400	0.503675 0.000340

# 	m = 0.09	

		0.0		0.646486 0.000143	0.566393 0.000163	0.507091 0.000136	0.460375 0.000150
		1.0		0.710117 0.000246	0.621976 0.000205	0.555709 0.000205	0.503321 0.000156
		2.0		0.767408 0.000531	0.671763 0.000335	0.600101 0.000343	0.542609 0.000257


#			m		xi_0		m_eta
			0.03		1.23671		0.33731		
			0.05		1.23080		0.43297
			0.07		1.22437		0.51117
			0.09		1.21699		0.57963

# FINAL VALUES:  m_s = 0.03670		xq_0 = 1.23482

#	HISQ TUNING:

#	m = 0.07

		0.0		0.437793 0.000447	0.396045 0.000407	0.364207 0.000377	0.339045 0.000332
		1.0		0.543105 0.000689	0.491257 0.000572	0.451310 0.000489	0.419552 0.000523		
		2.0		0.625902 0.002835	0.571397 0.002444	0.525028 0.001850	0.487420 0.001453

# FINAL VALUE: xq_0 = 1.49717

# 		TUNING OF STRANGE MASS:

#			m		m_eta		dm_eta
			0.03		0.236879	0.000231
			0.05		0.303449	0.000267
			0.07		0.358000	0.000284
			0.09		0.406046	0.000307

# FINAL VALUES:  m_s =  0.07469

###     NAIVE SPLITTINGS

                PION_5		0.171173	0.000196	[9 20 1.05506651 10 0.39357857 an[0]: 2.0876 0.0036 En[0]: 0.171173 0.000196]
                PION_05		0.279580	0.002420	[4 12 1.09981705 5 0.35804619 an[0]: 0.8659 0.0231 En[0]: 0.516468 0.017500 ao[0]: 0.4039 0.0034 Eo[0]: 0.279580 0.002420]

###     HISQ SPLITTINGS

                PION_5		0.169805	0.000286	[9 20 1.02844083 10 0.41590557 an[0]: 1.2017 0.0028 En[0]: 0.169805 0.000286]
                PION_05		0.177203	0.000616	[8 24 1.02519639 13 0.42284080 an[0]: 0.2247 0.0360 En[0]: 0.308321 0.040058 ao[0]: 0.2323 0.0011 Eo[0]: 0.177203 0.000616]

