### GENERAL INFO:
PION_5		non-osc
PION_05		osc		s=(-1,1)
PION_i5		non-osc
PION_ij		osc
PION_i0		osc
PION_i		osc		s=(1,1)		MTc 34
PION_0		osc		s=(0,-1)	MTc 18
PION_s		osc		s=(-1,-1)	MTc 38


#TASTE          E               dE              [tmin,tmax]{chisq,Q}

### xi = 1; ENSEMBLE: l1632b681823x100000a (FNAL); a = 0.16 fm; m_l = 0.01524
PION_5		0.25467		0.00040		[8,17]{1.074,0.377} 1+0 n0
PION_05		0.3036		0.0023		[10,17]{1.334,0.246} 0+1 o0
PION_i5		0.30493		0.00059		[6,13]{1.065,0.363} 1+1 n0
PION_ij		0.3439		0.0019		[5,15]{1.046,0.393} 1+1 o0
PION_i0		0.34611		0.00093		[4,13]{1.100,0.358} 1+1 o0
PION_i		0.3764		0.0025		[3,15]{1.097,0.362} 1+1 o0
PION_0		0.3839		0.0014		[4,13]{1.101,0.358} 1+1 o0
PION_s		0.4184		0.0095		[8,15]{1.699,0.131} 0+1 o0		

### xi = 2; ENSEMBLE: l1664b704115x181411a (iCER); a = 0.16 fm; m_l = 0.01460
PION_5		0.12754		0.00024		[18,27]{1.008,0.423} 1+0 n0
PION_05		0.12859		0.00056		[25,33]{1.178,0.315} 0+1 o0
PION_i5		0.15605		0.00052		[22,33]{1.031,0.412} 1+0 n0
PION_ij		0.15557		0.00054		[6,23]{1.018,0.430} 1+1 o0
PION_i0		0.1780		0.0011		[22,33]{1.146,0.325} 0+1 o0
PION_i		0.1778		0.0016		[16,33]{1.605,0.064} 0+1 o0
PION_0		0.1916		0.0041		[15,33]{1.048,0.401} 0+2 o0
PION_s		0.2053		0.0068		[22,33]{1.401,0.181} 0+1 o0

### xi = 4; ENSEMBLE: l16128b719156x348992a (FNAL); a = 0.16 fm; m_l = 0.01446
PION_5          0.06371		0.00017		[48,63]{1.141,0.318} 1+0 n0
PION_05		0.06390		0.00013		[22,60]{1.059,0.375} 1+1 o0
PION_i5		0.07862		0.00017		[30,60]{1.006,0.455} 1+1 n0
PION_ij		0.07861		0.00027		[15,50]{1.063,0.371} 1+1 o0
PION_i0		0.09025		0.00031		[26,65]{1.062,0.368} 0+1 o0
PION_i		0.09097		0.00079		[32,62]{1.304,0.130} 0+1 o0
PION_0		0.10020		0.00045		[20,40]{1.065,0.381} 0+1 o0
PION_s		0.0991		0.0011		[22,47]{1.289,0.156} 1+1

### xi = 8; ENSEMBLE: l20320b726025x689327a (FNAL); a = 0.16 fm; m_l = 0.01416
PION_5          
PION_05		0.032470	0.000089	[105,150]{1.120,0.274} 1+1
PION_i5
PION_ij
PION_i0
PION_i
PION_0
PION_s
