# xi_g = 1.0 HISQ - l1632b681823x100000a

# STRANGE MASS TUNING:

#m      E               dE 
0.03    0.35218         0.00062
0.05    0.45117         0.00056
0.07    0.53223         0.00052
0.09    0.60334         0.00052
0.11    0.66801         0.00048

PREDICTED m_s: 0.076166

# xi_g = 1.1 HISQ - l1632b684652x107865a

# ANISOTROPY TUNING AT m = 0.06 :

# xi_0 =	1.00				1.05				1.10				1.15
# p^2		E		dE		E		dE		E		dE		E		dE
0.0		0.472498	0.000420	0.459697	0.000389	0.447751	0.000367	0.436736	0.000358
1.0		0.603638	0.000871	0.586990	0.000731	0.571675	0.000698	0.557417	0.000668
2.0		0.705707	0.001160	0.687620	0.001338	0.669599	0.001223	0.652746	0.001134

PREDICTED xi_0: 1.08307 -> WE USE xi_0 = 1.08

# STRANGE MASS TUNING:

#m	E		dE
0.04	0.371239	0.000424
0.06	0.452388	0.000371
0.08	0.521867	0.000530
0.10	0.584427	0.000394

PREDICTED m_s: 0.0748591006

# xi_g = 1.2 HISQ - l1632b687348x115792a

#       HISQ TUNING:

#               xi_f            1.0                     1.20                    1.40
#               p^2

#       m = 0.05

                0.0		0.415365 0.000686	0.375605 0.000646	0.345529 0.000518
                1.0		0.550255 0.001133	0.497202 0.000933	0.455880 0.000605
                2.0		0.662206 0.003553	0.596866 0.002494	0.546493 0.001877

#       m = 0.07

                0.0		0.491793 0.000542	0.443484 0.000504	0.406975 0.000446
                1.0		0.610712 0.000871	0.550173 0.000728	0.503775 0.000621
                2.0		0.712492 0.001909	0.641248 0.001411	0.586203 0.001098

#       m = 0.09

                0.0		0.559310 0.000509	0.503046 0.000450	0.460540 0.000400
                1.0		0.666816 0.000733	0.599037 0.000618	0.547299 0.000531
                2.0		0.761363 0.001425	0.683428 0.001073	0.623451 0.000847


#                       m               xi_0            m_eta
                        0.05            1.19510		0.451756	
                        0.07            1.19559		0.533306
                        0.09            1.19447		0.605300

# FINAL VALUES:  m_s = 0.076044      xq_0 = 1.1954 


# xi_g = 1.5 HISQ - l1648b694635x139939a

# ANISOTROPY TUNING AT m = 0.07 :

# xi_0 =        1.05                    1.25                    1.45                    1.65
# p^2
0.0             0.437793 0.000447       0.396045 0.000407       0.364207 0.000377       0.339045 0.000332
1.0             0.543105 0.000689       0.491257 0.000572       0.451310 0.000489       0.419552 0.000523               
2.0             0.625902 0.002835       0.571397 0.002444       0.525028 0.001850       0.487420 0.001453

PREDICTED  xi_0: 1.49717 -> WE USE xi_0 = 1.4972

# STRANGE MASS TUNING :

#m     E        dE
0.03            0.236879        0.000231
0.05            0.303449        0.000267
0.07            0.358000        0.000284
0.09            0.406046        0.000307

PREDICTED m_s: 0.07469

# xi_g = 2.0 HISQ - l1664b704115x181411a

# ANISOTROPY TUNING AT  m = 0.06 :

#p^2            xi=1.88                         xi=1.94                         xi=2.00 
#               E               dE              E               dE              E               dE
0.00            0.25910         0.00024         0.25464         0.00024         0.25040         0.00023
1.00            0.32913         0.00051         0.32342         0.00049         0.31798         0.00048
2.00            0.38523         0.00083         0.37851         0.00079         0.37209         0.00076

PREDICTED  xi_0: 1.97978 -> WE USE xi_0 = 1.980

# STRANGE MASS TUNING :

#m      E               dE
0.03    0.17981         0.00025
0.05    0.23024         0.00024
0.07    0.27183         0.00025
0.09    0.30831         0.00024
0.11    0.34146         0.00027

PREDICTED m_s: 0.073037

# TUNING CHECK AT m_s = 0.0730, xi_0 = 1.980:

#p^2    E               dE
0.00    0.27743         0.00027
1.00    0.34040         0.00042
2.00    0.39253         0.00066

# This leads to m_eta = 684.31(67) MeV and xi = 1.996(5)

# xi_g = 4.0 HISQ - l16128b719156x348992a

# ANISOTROPY TUNING AT m = 0.05

#p^2            xi=3.76                         xi=3.88                         xi=4.00 
#               E               dE              E               dE              E               dE                      
0.00            0.11979         0.00014         0.11777         0.00014         0.11585         0.00013
1.00            0.15789         0.00040         0.15519         0.00038         0.15261         0.00037
2.00            0.18597         0.00069         0.18281         0.00066         0.17979         0.00062

PREDICTED  xi_0:  4.00484 -> WE USE xi_0 = 4.000

# STRANGE MASS TUNING:

#m      E               dE
0.03    0.09047         0.00014
0.05    0.11580         0.00013
0.07    0.13669         0.00013
0.09    0.15506         0.00012
0.11    0.17181         0.00011

PREDICTED m_s: 0.072277

# xi_g = 8 HISQ - l20320b726025x689327a

# ANISOTROPY TUNING AT  m = 0.07

#p^2            xi=7.60                         xi=7.80                         xi=8.00                         xi=8.20 
#               E               dE              E               dE              E               dE              E               dE
0.00            0.070570        0.000046        0.069558        0.000045        0.068587        0.000045        0.067656        0.000044
1.00            0.081136        0.000088        0.079953        0.000086        0.078817        0.000085        0.077724        0.000083
2.00            0.09055         0.00013         0.08923         0.00013         0.08795         0.00013         0.08673         0.00012

PREDICTED xi_0: 7.87119 -> WE USE xi_0 = 7.870

# STRANGE MASS TUNING

#m      E               dE
0.05    0.058482        0.000072
0.06    0.063990        0.000069
0.07    0.069099        0.000066
0.08    0.073900        0.000064

PREDICTED m_s: 0.070803

# xi_g = 8 HISQ - l20320b726025x689327a AGAIN FOR CHECK

#               xi_f            7.47                     7.87                    8.27
#               p^2

#       m = 0.060803

                0.0             
                1.0             
                2.0             

#       m = 0.070803

                0.0             
                1.0             
                2.0            

#       m = 0.080803

                0.0             
                1.0             
                2.0             


#                       m               xi_0            m_eta
                        0.060803        
                        0.070803
                        0.080803

# FINAL VALUES:  m_s =       xq_0 =  

