### xi = 1; ENSEMBLE: l1632b681823x100000a (FNAL); a = 0.16 fm

# Strange mass tuning for xi_0 = 1.00000

#m	E		dE 
0.03	0.35218		0.00062
0.05	0.45117		0.00056
0.07	0.53223		0.00052
0.09	0.60334		0.00052
0.11	0.66801		0.00048

# This leads to m_s = 0.076166
# Thus nlpi with m_s = 0.0762

### xi = 2; ENSEMBLE: l1664b704115x181411a (iCER); a = 0.16 fm

# Anisotropy tuning for m = 0.06

#p^2		xi=1.88				xi=1.94				xi=2.00	
#		E		dE		E		dE		E		dE
0.00		0.25910		0.00024		0.25464		0.00024		0.25040		0.00023
1.00		0.32913		0.00051		0.32342		0.00049		0.31798		0.00048
2.00		0.38523		0.00083		0.37851		0.00079		0.37209		0.00076

# This leads to xi_0 = 1.97978

# Strange mass tuning for xi_0 = 1.980

#m	E		dE
0.03	0.17981		0.00025
0.05	0.23024		0.00024
0.07	0.27183		0.00025
0.09	0.30831		0.00024
0.11	0.34146		0.00027

# This leads to m_s = 0.073037

# Tuning check at m_s = 0.0730, xi_0 = 1.980:

#p^2	E		dE
0.00	0.27743		0.00027
1.00	0.34040		0.00042
2.00	0.39253		0.00066

# This leads to m_eta = 684.31(67) MeV and xi = 1.996(5)
# Thus nlpi with m_s = 0.0730

### xi = 4; ENSEMBLE: l16128b719156x348992a (FNAL); a = 0.16 fm

# Anisotropy tuning for m = 0.05

#p^2		xi=3.76				xi=3.88				xi=4.00 
#		E		dE		E		dE		E		dE			
0.00		0.11979		0.00014		0.11777		0.00014		0.11585		0.00013
1.00		0.15789		0.00040		0.15519		0.00038		0.15261		0.00037
2.00		0.18597		0.00069		0.18281		0.00066		0.17979		0.00062

# This leads to xi_0 = 4.00484

# Strange mass tuning for xi_0 = 4.000

#m	E		dE
0.03	0.09047		0.00014
0.05	0.11580		0.00013
0.07	0.13669		0.00013
0.09	0.15506		0.00012
0.11	0.17181		0.00011

# This leads to m_s = 0.072277
# Thus nlpi with m_s = 0.0723 

### xi = 8; ENSEMBLE: l20320b726025x689327a (FNAL); a = 0.16 fm

# Anisotropy tuning for m = 0.07 # TOO LATE TIMES YIELD NOTHING BUT NOISE; IN THESE FITS tmax ~ 100

#p^2            xi=7.60                         xi=7.80                         xi=8.00				xi=8.20 
#               E               dE              E               dE              E               dE		E		dE
0.00		0.070570	0.000046	0.069558        0.000045	0.068587	0.000045	0.067656	0.000044
1.00		0.081136	0.000088	0.079953	0.000086	0.078817	0.000085	0.077724	0.000083
2.00		0.09055		0.00013		0.08923		0.00013		0.08795		0.00013		0.08673		0.00012

# This leads to xi_0 = 7.87119

# Strange mass tuning for xi_0 = 7.870

#m      E               dE
0.05    0.058482	0.000072
0.06	0.063990	0.000069
0.07    0.069099	0.000066
0.08	0.073900	0.000064

# This leads to m_s = 0.070803
# Thus nlpi with m_s = 0.0708



