### xi = 1;

# Strange mass tuning for xi_0 = 1.00000

#m	E	dE 
0.03
0.05
0.07
0.09
0.11


### xi = 2; ENSEMBLE: l1664b704115x181411a (iCER); a = 0.16 fm

# Anisotropy tuning for m = 0.06

#p^2		xi=1.88				xi=1.94				xi=2.00	
#		E		dE		E		dE		E		dE
0.00		0.25910		0.00024		0.25464		0.00024		0.25040		0.00023
1.00		0.32913		0.00051		0.32342		0.00049		0.31798		0.00048
2.00		0.38523		0.00083		0.37851		0.00079		0.37209		0.00076

# This leads to xi_0 = 1.97978

# Strange mass tuning for xi_0 = 1.980

#m	E		dE
0.03	0.17981		0.00025
0.05	0.23024		0.00024
0.07	0.27183		0.00025
0.09	0.30831		0.00024
0.11	0.34146		0.00027

# This leads to m_s = 0.073037

# Tuning check at ms = 0.0730, xi_0 = 1.980:

#p^2	E	dE
0.00
1.00
2.00


### xi = 4; ENSEMBLE: l16128b719156x348992a (FNAL)

# Anisotropy tuning for m = 0.05

#p^2		xi=3.76				xi=3.88				xi=4.00 
#		E		dE		E		dE		E		dE			
0.00		0.11979		0.00014		0.11777		0.00014		0.11585		0.00013
1.00		0.15789		0.00040		0.15519		0.00038		0.15261		0.00037
2.00		0.18597		0.00069		0.18281		0.00066		0.17979		0.00062

# This leads to xi_0 = 4.00484

# Strange mass tuning for xi_0 = 4.000

#m	E		dE
0.03	0.09047		0.00014
0.05	0.11580		0.00013
0.07	0.13669		0.00013
0.09	0.15506		0.00012
0.11	0.17181		0.00011
