xi_0 = 3.0000    w_0s/w_0t = 1.036680 +- 0.000306
xi_0 = 3.1000    w_0s/w_0t = 1.027413 +- 0.000313
xi_0 = 3.2000    w_0s/w_0t = 1.017393 +- 0.000459
xi_0 = 3.3000    w_0s/w_0t = 1.008624 +- 0.000344
xi_0 = 3.4000    w_0s/w_0t = 0.999927 +- 0.000333
xi_0 = 3.5000    w_0s/w_0t = 0.992577 +- 0.000402
xi_0 = 3.6000    w_0s/w_0t = 0.984006 +- 0.000425
xi_0 = 3.7000    w_0s/w_0t = 0.975072 +- 0.000332
xi_0 = 3.8000    w_0s/w_0t = 0.967257 +- 0.000462
xi_0 = 3.9000    w_0s/w_0t = 0.959938 +- 0.000469
