xi_0 = 3.0000    w_0s/w_0t = 1.009827 +- 0.000472
xi_0 = 3.1000    w_0s/w_0t = 1.003998 +- 0.000401
xi_0 = 3.2000    w_0s/w_0t = 0.997732 +- 0.000560
xi_0 = 3.3000    w_0s/w_0t = 0.991723 +- 0.000481
xi_0 = 3.4000    w_0s/w_0t = 0.985413 +- 0.000479
xi_0 = 3.5000    w_0s/w_0t = 0.981520 +- 0.000392
xi_0 = 3.6000    w_0s/w_0t = 0.976345 +- 0.000526
xi_0 = 3.7000    w_0s/w_0t = 0.970138 +- 0.000487
xi_0 = 3.8000    w_0s/w_0t = 0.965126 +- 0.000615
xi_0 = 3.9000    w_0s/w_0t = 0.960602 +- 0.000567
