xi_0 = 3.0000    w_0s/w_0t = 1.013304 +- 0.000402
xi_0 = 3.1000    w_0s/w_0t = 1.006548 +- 0.000361
xi_0 = 3.2000    w_0s/w_0t = 0.999256 +- 0.000522
xi_0 = 3.3000    w_0s/w_0t = 0.992474 +- 0.000420
xi_0 = 3.4000    w_0s/w_0t = 0.985497 +- 0.000415
xi_0 = 3.5000    w_0s/w_0t = 0.980634 +- 0.000369
xi_0 = 3.6000    w_0s/w_0t = 0.974522 +- 0.000475
xi_0 = 3.7000    w_0s/w_0t = 0.967533 +- 0.000424
xi_0 = 3.8000    w_0s/w_0t = 0.961718 +- 0.000555
xi_0 = 3.9000    w_0s/w_0t = 0.956394 +- 0.000515
